name,user,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Kourou,javier,0.698,0.867,2,-7.587,0,0.0508,0.0836,0.019,0.358,0.852,90.458,291586,3
After Midnight,javier,0.652,0.31,2,-13.865,0,0.0324,0.526,0.686,0.115,0.294,131.973,283107,4
Si Fuera Imposible,javier,0.634,0.352,9,-12.631,1,0.0314,0.691,0.139,0.112,0.193,57.487,247381,4
Dixie Chicken,javier,0.566,0.669,9,-10.081,1,0.0694,0.7,0.0654,0.588,0.92,149.702,239107,4
Two Trains,javier,0.631,0.755,5,-7.65,0,0.0573,0.518,8.64e-4,0.0629,0.763,95.364,187267,4
Outta My Mind,javier,0.579,0.713,2,-10.006,0,0.0354,0.366,0.472,0.189,0.943,180.031,169187,4
Alone in the Night,javier,0.418,0.149,4,-18.135,0,0.0336,0.827,0.879,0.107,0.54,160.041,138620,4
Karma Chameleon,javier,0.676,0.577,10,-12.031,1,0.0365,0.186,0,0.148,0.934,91.98,241600,4
Passionfruit,javier,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298941,4
Elephant Gun,javier,0.211,0.708,8,-6.008,1,0.0507,0.798,0.00402,0.0742,0.476,179.794,345093,3
Nantes,javier,0.434,0.531,1,-9.553,1,0.0425,0.781,0.0134,0.135,0.641,131.199,230200,4
No No No,javier,0.619,0.874,0,-7.014,1,0.0353,0.391,0.363,0.466,0.961,89.582,170640,4
Carol of the Bells,javier,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,85267,4
Cavatina,javier,0.296,0.0329,4,-26.825,1,0.0415,0.973,0.907,0.0777,0.225,94.013,188667,3
"Divertimento in D major, K. 136: 1. Allegro",javier,0.35,0.247,2,-18.231,1,0.0389,0.884,0.645,0.305,0.45,132.514,258000,4
"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo",javier,0.283,0.135,10,-20.908,1,0.0452,0.79,9.81e-4,0.292,0.226,82.965,111920,3
Dancing on Clouds,javier,0.466,0.307,4,-16.38,0,0.0328,0.948,0.96,0.112,0.248,129.992,144910,3
Fortunate Son,javier,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
Calm Down (with Selena Gomez),javier,0.801,0.806,11,-5.206,1,0.0381,0.382,6.69e-4,0.114,0.802,106.999,239318,4
Canary Islands,javier,0.577,0.683,1,-7.699,1,0.0523,0.028,0.00329,0.156,0.728,115.058,204522,4
Who Loves The Sun,javier,0.985,0.686,10,-9.905,0,0.051,0.189,0.669,0.193,0.693,120.004,562239,4
Dust in the Wind,javier,0.475,0.322,7,-10.687,1,0.0283,0.367,5.6e-4,0.11,0.387,93.503,206267,4
Expensive Shit,javier,0.717,0.875,7,-7.602,0,0.0979,0.197,0.388,0.0907,0.694,123.775,792360,4
Root Tonic,javier,0.827,0.599,10,-5.747,0,0.21,0.074,0.843,0.249,0.945,79.981,225162,4
Fresh From Yard,javier,0.747,0.932,1,-3.32,0,0.0452,0.032,0.965,0.118,0.97,76.51,185098,4
Wona,javier,0.58,0.798,0,-6.187,1,0.0545,0.0252,3.26e-5,0.16,0.469,102.715,240453,3
Delta,javier,0.539,0.431,2,-10.117,1,0.0433,0.111,0.00262,0.0535,0.204,119.489,376240,4
Guiding Light,javier,0.553,0.711,7,-7.714,1,0.0453,0.063,8.41e-6,0.0759,0.299,99.997,217633,4
